"region","name","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta3","beta4","beta5","beta6","beta7","beta8","beta9","eps","m_CHR","m_CHW","mu_D","mu_D_2","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","mu_gamma_H_4","p_G_D","p_G_D_CHR","p_H","p_H_2","p_H_3","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC","p_NC_weekend","p_W_D","rel_p_D_delta","rel_p_H_delta","rel_p_ICU_delta","rho_pillar2_tests","seed_date_delta","start_date","ta_delta"
"east_of_england","alpha_D",0.0138729010885015,0.00227173116442059,-0.000299371147577282,-0.000187937722582262,0.000150593825297858,-0.000241583853272738,-3.23793411925678e-05,9.28585859732749e-06,0.000233051695968891,-0.000382015876520029,4.12375225344782e-05,-2.7490989071001e-05,9.12342484582347e-05,-0.000151778616718478,-0.000292172700508555,0.000222104634633546,-0.000356387335561223,0.000572139740882827,-0.000645090753231886,0.000148011478110043,-0.000175023414762404,0.00020502807109671,-0.000424003765140821,6.02883335595309e-05,-4.9617992658201e-05,5.26876672224684e-05,-6.68380948735349e-05,9.11158739283294e-05,-7.62038607450947e-05,-0.000186229610546574,-0.014452787781117,1.98693281403791e-08,4.31880537600629e-09,0.00346767842973161,0.00110857111287239,-0.00203849739646387,-0.000556960909978065,-0.00200223121235542,-0.00098240086213251,0.000565748281640565,-0.00287554164788335,0.000314722012642554,0.00565554762823685,-0.000182339963303882,-0.00285847411145061,0.000841606570576267,-9.5370157521471e-05,-0.00277511088483386,-1.71275240396518e-07,5.15881091229854e-06,0.00549599597574689,0.00386320166913932,0.00447601555995702,0.0095113654852365,-6.67852294937382e-06,0.0437376458399677,-0.118952102307953,-0.000182076321896077
"east_of_england","alpha_death_hosp",0.00227173116442059,0.00198141390520911,-8.4290156183513e-05,1.42586809214623e-05,7.02224573251992e-05,-5.69610658041367e-05,-1.84777537647921e-05,1.53285628556044e-05,6.35597320609485e-06,2.02757020585319e-05,-9.60531864978745e-06,2.44161099466736e-05,-4.14951887714669e-05,9.29686938271549e-06,-0.00026205080179901,3.50438106061625e-05,-8.37639595542293e-05,-6.45928748490463e-05,7.21265483026523e-05,-2.97013514166602e-06,-7.49840550618313e-05,0.000121568056675493,-0.00044531895183049,3.78946855975293e-05,-2.10093540251832e-05,5.91229566415796e-05,-6.11221403622e-05,3.72519572255447e-05,6.74548432360922e-05,-0.000158879633829837,-0.00465701969392999,1.16463035102134e-08,-1.42440659454737e-09,0.0010636818251129,0.000786784418336553,-0.0025945820614757,7.78526847208843e-05,-0.00107000957603325,-0.000768915395853531,4.61028035267782e-05,0.000559039291606153,-0.000399344504571925,0.00233305422046982,-3.2295510144897e-05,-0.000695256757742703,0.00029495224795849,5.05357989371398e-05,-0.00176960040141903,-5.35484270185709e-06,-1.28220587223963e-06,0.00524092114291857,0.00788818564937555,0.00182320851636619,-0.00236726287736044,1.50804629267996e-05,0.0254265874662066,-0.0116082098297295,0.00012133280743654
"east_of_england","alpha_H",-0.000299371147577282,-8.4290156183513e-05,1.5541743482246e-05,6.91006342810116e-06,-7.06796809492866e-08,6.78976882751787e-06,-2.61497235250783e-06,2.09748837610613e-06,-8.75106500440566e-06,5.92253455124022e-06,-8.20246182250416e-07,-1.77315056431709e-07,-1.27416759648948e-06,-1.32896211738592e-06,1.36547084084969e-05,-4.84492433090598e-06,1.15037105428164e-05,-8.92524179277852e-06,1.24463270964135e-05,-6.33870133047242e-06,9.00290209371176e-06,-1.79804438290548e-05,4.42698850714795e-05,-2.65734578093413e-06,2.1361146206375e-06,-3.54127526555713e-06,1.13057746579026e-06,-4.25241548415436e-06,7.96112279895598e-06,-2.7986975140799e-06,0.000502290642240038,-2.41666786863905e-09,-5.92923412918223e-11,-4.94056698432836e-05,0.000141089813124277,0.000242481164461113,1.75741096217168e-05,0.000111035065212064,7.72864817266978e-05,-1.79048405658959e-05,0.000100903097371818,1.9528674025962e-05,-0.000231949967223585,-9.86664233051491e-06,-2.26209611832678e-05,-1.27274422402129e-05,1.38178918299217e-05,0.000206458257341449,1.13561433763378e-08,-2.11213701967004e-07,-0.0002595167080284,2.50203987735194e-06,-5.2029797478576e-05,-0.000279687545973113,-7.03077830142153e-07,-0.00305806263287293,0.00549024421282992,-3.03637715987552e-05
"east_of_england","beta1",-0.000187937722582262,1.42586809214623e-05,6.91006342810116e-06,2.3460315807911e-05,6.34583750209837e-06,4.24108181596443e-06,-8.12958518676615e-06,8.26883684301771e-06,-8.85906320648464e-06,9.61268155210631e-06,-8.65126362313703e-07,2.84165323748272e-06,-4.24136374014696e-06,1.58852602955201e-06,-2.08957522122644e-05,-6.36589546614914e-06,7.94261042903667e-06,-6.44206116278181e-06,1.03083664573805e-05,-5.73935559785636e-06,3.1804788669971e-06,-1.74798145348796e-07,-5.01381861094417e-05,2.25241535392363e-07,3.39945938228499e-06,-1.56763246719591e-06,-3.8840144126842e-06,2.83484656132661e-06,1.42129039847274e-05,-1.82705650487501e-05,-0.000147991930173914,-1.28165417999184e-09,-5.17764296477331e-10,0.000121157742674282,0.000134000853797491,-2.95707190601477e-05,-3.76874452059568e-05,4.94544570698175e-05,-2.50657461570557e-05,-1.08910548427409e-05,0.000185193605204272,-4.0207542446756e-05,-4.05259609184139e-05,-1.02445547004738e-05,-0.000154366197324746,-2.22624176858901e-05,5.0054074381212e-06,8.64298770776936e-05,1.33736990441534e-07,-1.74851428372788e-07,-0.000105062185548236,0.000363256263785287,2.10233264359769e-05,-0.000426123334769929,-3.3612300372161e-07,0.0017944836226346,0.0125433006327803,3.96293435928433e-05
"east_of_england","beta10",0.000150593825297858,7.02224573251992e-05,-7.06796809492866e-08,6.34583750209837e-06,2.25096618364925e-05,-2.02141399634159e-05,-4.98656489468299e-07,9.05378323317931e-07,3.1117108197002e-06,-1.05444503953239e-05,1.10605465735596e-06,4.71507407124604e-07,2.99579934654589e-06,-7.62342208316739e-06,1.08087419379107e-05,2.68806246423842e-07,4.71193411509803e-06,-1.02997002285239e-05,3.6402229330357e-06,-7.08128010457652e-06,2.76761396131607e-06,-1.05799377029109e-05,2.52832495369676e-05,-1.41541382017404e-06,1.0394767058236e-06,-1.08538795302463e-06,-5.91244567175514e-06,7.34473703863922e-06,4.2573179781792e-06,-2.75527825463768e-05,-0.000167221328197243,-1.05695311691006e-09,-4.12792931181699e-10,0.000185848573874175,0.000242094698627344,0.000213727091948798,-1.39229385308962e-05,-3.08815505982471e-05,2.91964152855955e-06,1.5700617045919e-05,6.47788288604249e-05,1.07664071375978e-06,1.25244330216354e-05,-4.56372891559593e-05,-0.000185007694830191,8.90514412912848e-06,9.9023417111713e-06,9.29944511427581e-05,5.73590203657152e-08,2.78811514817431e-08,0.000161048916428402,0.000453458080755485,0.000129320826892229,0.000266358757826914,2.81281334653925e-08,0.00467759691764093,0.00510651055268635,3.55123771544808e-05
"east_of_england","beta11",-0.000241583853272738,-5.69610658041367e-05,6.78976882751787e-06,4.24108181596443e-06,-2.02141399634159e-05,3.40647968428508e-05,-1.20394291518674e-05,9.6837641508112e-06,-1.60111536972292e-05,1.61478281340936e-05,-2.23284466948608e-06,1.30600884356015e-06,-6.66573780415427e-06,8.77091555171937e-06,-2.44946964512815e-05,-1.6344295451895e-06,-4.2401493107704e-08,1.14489796563541e-05,-3.6735015512455e-06,1.05276249926509e-05,-4.6324363872408e-06,1.14601983091794e-05,-6.19928911831996e-06,4.35621203399322e-06,-1.87271824177228e-06,3.07053630509866e-06,4.00130543588884e-06,-1.03311022888093e-05,1.2180043780649e-05,1.19802933607177e-05,0.000185934464951266,1.26114147426947e-09,-5.66319194520303e-10,-0.00017680332447916,-5.46852052144831e-05,-0.00015363956123687,-2.36231063495964e-05,0.00011097750770465,5.73569268633115e-05,-3.40659022986507e-05,9.52317204500034e-05,-8.34009114952341e-06,-9.43600666597419e-05,6.85636858024758e-05,9.01406282303469e-05,-2.83871952186312e-05,-2.1477139247753e-06,-0.000122945905915566,-4.29285760172128e-07,1.54209579226873e-08,-0.000128460304990677,-6.29037670604788e-05,-8.35996521143112e-05,-0.000624684933020954,2.48416088330254e-07,-0.00654634005478166,0.000635573697798821,-8.75511997527414e-05
"east_of_england","beta12",-3.23793411925678e-05,-1.84777537647921e-05,-2.61497235250783e-06,-8.12958518676615e-06,-4.98656489468299e-07,-1.20394291518674e-05,1.34756702593122e-05,-1.07442779466311e-05,8.73822086362515e-06,-1.92712352185542e-06,8.00476521614133e-07,-1.22380189933926e-06,2.79409650087936e-06,3.04498665000388e-07,2.03331586020601e-05,-4.45240476734989e-07,8.33357135187716e-07,-9.52667893149962e-06,7.5666142365485e-06,-3.58835694481639e-06,2.211781656435e-06,-2.77252877588345e-06,1.86835480802896e-05,-2.890456246593e-06,5.37407336080239e-07,-1.49757541861287e-06,2.06761797703816e-06,2.1996090667584e-06,-1.29524633878808e-05,1.16944186206824e-05,0.000136133831360051,-1.27513494643933e-10,5.62369724583013e-10,-4.26782271561853e-05,-0.000122119061556376,2.13525929206547e-05,4.51797007091848e-05,-5.16776550987854e-05,-2.10815827633104e-05,1.04210038302906e-05,-7.93439519014495e-05,3.48177153415348e-06,-1.44561147295901e-05,-1.74263852870494e-05,0.000113109362729211,-1.73366892814113e-07,-4.41018141575505e-06,2.90240140165759e-05,2.87509437338546e-07,2.87648454632024e-08,6.36505886511244e-06,-0.000269672837398463,-0.000106900174593586,0.000313541316937605,3.65388560257864e-07,0.0020777675923673,-0.00405770904197505,4.31229842305197e-05
"east_of_england","beta13",9.28585859732749e-06,1.53285628556044e-05,2.09748837610613e-06,8.26883684301771e-06,9.05378323317931e-07,9.6837641508112e-06,-1.07442779466311e-05,1.11262573304286e-05,-1.04747417997576e-05,2.33408010775249e-06,-1.73270588078192e-07,1.24485752685704e-06,-1.62039808025213e-06,1.02552414870548e-06,-1.6883010831736e-05,7.74188630302941e-07,-9.97854597691339e-07,1.14428139260978e-05,-7.79834493742031e-06,4.61932031768631e-06,-2.25696229391358e-06,2.05389477060332e-06,-5.13932807483632e-06,2.19204517379544e-06,2.00241757715699e-07,1.22748146367338e-06,-1.64509100010358e-06,-1.26839338817098e-06,1.20902937173781e-05,-1.09591195350558e-05,-0.000241046833958812,5.11149882306515e-10,-6.33748678195588e-10,5.83431682166257e-05,0.000127720002252104,-1.54588185239848e-05,-3.19292099127661e-05,4.05650039734389e-05,1.56161514711234e-05,-9.3374938692499e-06,0.000108186743415291,-1.20329736613382e-05,-1.83536726275226e-05,2.03710190056094e-05,-0.000120935756103976,-1.91159181808863e-05,8.7808972659467e-07,-4.83969577349308e-05,-1.01623206850246e-07,5.22327471634622e-08,-5.84245763091601e-06,0.000202510090529788,4.98590387757407e-05,-0.000212917467812186,-1.39372447035119e-07,-0.000901638818586705,0.003802375229307,-3.309602670057e-05
"east_of_england","beta14",0.000233051695968891,6.35597320609485e-06,-8.75106500440566e-06,-8.85906320648464e-06,3.1117108197002e-06,-1.60111536972292e-05,8.73822086362515e-06,-1.04747417997576e-05,2.21590445673284e-05,-1.65710522802525e-05,2.01535416557458e-06,-1.81715625372395e-06,5.19576962407244e-06,-5.82858864035106e-06,1.12948109039824e-05,4.26427510504419e-06,-6.34450027740441e-06,2.84364902200859e-06,-8.21386589459553e-06,-1.51270781352976e-06,-1.28235389710312e-06,3.16192653710484e-06,-2.22550914838492e-05,-2.34068350479996e-06,1.15659503938174e-06,-2.59232278736636e-06,-1.19641816057147e-07,6.14950460856913e-06,-1.54906110291719e-05,6.91439173623234e-06,-7.836484799971e-05,-3.96886578755643e-10,5.88713333134978e-10,8.00241866375829e-05,-0.000138210850721696,-6.9131163995478e-05,1.58370154285261e-06,-7.67297484738402e-05,-5.32600168301428e-05,2.66881913222115e-05,-0.00020308405008647,1.12065640665502e-05,0.000133536777808499,-4.06000790955652e-05,-5.74692641112483e-06,3.44171911645814e-05,-8.04966535023483e-06,5.06973862442235e-05,4.12039304424482e-07,-3.17378241684469e-08,-5.52929382784931e-05,-0.000359334700481319,5.12746924504379e-05,0.00053935755340489,-9.70898850966685e-07,0.0029662193636474,-0.00449357474523148,5.71442642619926e-05
"east_of_england","beta15",-0.000382015876520029,2.02757020585319e-05,5.92253455124022e-06,9.61268155210631e-06,-1.05444503953239e-05,1.61478281340936e-05,-1.92712352185542e-06,2.33408010775249e-06,-1.65710522802525e-05,3.13432670712175e-05,-4.61295988253682e-06,4.46483931738968e-06,-1.25257503833259e-05,1.22197402518391e-05,-3.15330667735067e-05,-8.5952692878227e-06,6.88038717979275e-06,-1.68945340792916e-05,2.65293632318691e-05,-4.93556053048747e-06,3.61738370467894e-06,1.02573750590511e-05,-8.25456559948975e-05,2.71899775036223e-06,-4.11901059901903e-08,3.16733993165819e-06,1.7936053728438e-06,-7.35206164074077e-06,1.11737412772821e-05,6.22126217577128e-06,9.64320501452931e-05,-1.293915025243e-09,7.07320798019556e-10,-0.000166013002770207,-0.000120108861208992,-0.00017869639614652,2.10868013679986e-05,2.7958213124232e-05,-5.2867843664698e-05,-2.86748149196631e-05,0.000164005673119433,-4.79479321294259e-05,-2.85287685825603e-07,3.5956478665499e-05,0.000185226236066521,-1.96597492920291e-05,5.04907710203546e-06,-5.64251193631491e-05,-5.39176875809335e-07,-2.98896573557015e-07,0.000100688758919718,0.00035630949358271,-0.000114690278807604,-0.000930812588400422,1.22742919063218e-06,-0.0035490795842019,0.00299527043228159,-1.08282098882406e-05
